REGION	Region	LOCATION	Country	INCOME	Income	VAR	Variable	TIME	Year	Value	Flag Codes	Flags
ALL	All regions	GHA	Ghana	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	30.7		
ALL	All regions	GHA	Ghana	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	22.7		
AME	Americas	GRD	Grenada	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	53.7		
ALL	All regions	GRD	Grenada	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	53.7		
AME	Americas	GTM	Guatemala	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	28.6		
AME	Americas	GTM	Guatemala	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	26.1		
AME	Americas	GTM	Guatemala	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	24.5		
AME	Americas	GTM	Guatemala	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	18.4		
AME	Americas	GTM	Guatemala	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	43.4		
ALL	All regions	GTM	Guatemala	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	28.6		
ALL	All regions	GTM	Guatemala	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	26.1		
ALL	All regions	GTM	Guatemala	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	24.5		
ALL	All regions	GTM	Guatemala	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	18.4		
ALL	All regions	GTM	Guatemala	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	43.4		
AFR	Africa	GIN	Guinea	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	56.7		
AFR	Africa	GIN	Guinea	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	87.7		
AFR	Africa	GIN	Guinea	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	56.9		
AFR	Africa	GIN	Guinea	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	28.2		
AFR	Africa	GIN	Guinea	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	44.4		
ALL	All regions	GIN	Guinea	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	56.7		
ALL	All regions	GIN	Guinea	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	87.7		
ALL	All regions	GIN	Guinea	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	56.9		
ALL	All regions	GIN	Guinea	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	28.2		
ALL	All regions	GIN	Guinea	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	44.4		
AFR	Africa	GNB	Guinea-Bissau	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	59.7		
ALL	All regions	GNB	Guinea-Bissau	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	59.7		
AME	Americas	GUY	Guyana	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	21.8		
ALL	All regions	GUY	Guyana	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	21.8		
AME	Americas	HTI	Haiti	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	39.9		
AME	Americas	HTI	Haiti	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	37.6		
AME	Americas	HTI	Haiti	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	37.3		
AME	Americas	HTI	Haiti	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	22		
AME	Americas	HTI	Haiti	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	59.1		
ALL	All regions	HTI	Haiti	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	39.9		
ALL	All regions	HTI	Haiti	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	37.6		
ALL	All regions	HTI	Haiti	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	37.3		
ALL	All regions	HTI	Haiti	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	22		
ALL	All regions	HTI	Haiti	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	59.1		
AME	Americas	HND	Honduras	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	22.4		
AME	Americas	HND	Honduras	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	24.9		
AME	Americas	HND	Honduras	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	25		
AME	Americas	HND	Honduras	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	24.1		
AME	Americas	HND	Honduras	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	15.3		
ALL	All regions	HND	Honduras	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	22.4		
ALL	All regions	HND	Honduras	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	24.9		
ALL	All regions	HND	Honduras	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	25		
ALL	All regions	HND	Honduras	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	24.1		
ALL	All regions	HND	Honduras	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	15.3		
ASI	Asia	HKG	"Hong Kong, China"	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	21.2		
ASI	Asia	HKG	"Hong Kong, China"	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	21.8		
ASI	Asia	HKG	"Hong Kong, China"	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	22.5		
ASI	Asia	HKG	"Hong Kong, China"	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	13.4		
ASI	Asia	HKG	"Hong Kong, China"	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	26.7		
ALL	All regions	HKG	"Hong Kong, China"	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	21.2		
ALL	All regions	HKG	"Hong Kong, China"	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	21.8		
ALL	All regions	HKG	"Hong Kong, China"	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	22.5		
ALL	All regions	HKG	"Hong Kong, China"	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	13.4		
ALL	All regions	HKG	"Hong Kong, China"	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	26.7		
ASI	Asia	IND	India	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	34		
ASI	Asia	IND	India	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	46.9		
ASI	Asia	IND	India	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	29.3		
ASI	Asia	IND	India	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	36.9		
ASI	Asia	IND	India	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	21.2		
ALL	All regions	IND	India	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	34		
ALL	All regions	IND	India	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	46.9		
ALL	All regions	IND	India	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	29.3		
ALL	All regions	IND	India	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	36.9		
ALL	All regions	IND	India	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	21.2		
ASI	Asia	IDN	Indonesia	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	41.6		
ASI	Asia	IDN	Indonesia	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	63.1		
ASI	Asia	IDN	Indonesia	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	21.9		
ASI	Asia	IDN	Indonesia	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	36.5		
ASI	Asia	IDN	Indonesia	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	40.4		
ALL	All regions	IDN	Indonesia	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	41.6		
ALL	All regions	IDN	Indonesia	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	63.1		
ALL	All regions	IDN	Indonesia	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	21.9		
ALL	All regions	IDN	Indonesia	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	36.5		
ALL	All regions	IDN	Indonesia	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	40.4		
ASI	Asia	IRN	Iran	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	58.3		
ASI	Asia	IRN	Iran	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	89.9		
ASI	Asia	IRN	Iran	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	29.1		
ASI	Asia	IRN	Iran	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	22.5		
ASI	Asia	IRN	Iran	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	75.1		
ALL	All regions	IRN	Iran	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	58.3		
ALL	All regions	IRN	Iran	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	89.9		
ALL	All regions	IRN	Iran	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	29.1		
ALL	All regions	IRN	Iran	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	22.5		
ALL	All regions	IRN	Iran	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	75.1		
ASI	Asia	IRQ	Iraq	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	53.7		
ASI	Asia	IRQ	Iraq	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	87.5		
ASI	Asia	IRQ	Iraq	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	30.7		
ASI	Asia	IRQ	Iraq	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	34.4		
ASI	Asia	IRQ	Iraq	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	51.5		
ALL	All regions	IRQ	Iraq	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	53.7		
ALL	All regions	IRQ	Iraq	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	87.5		
ALL	All regions	IRQ	Iraq	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	30.7		
ALL	All regions	IRQ	Iraq	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	34.4		
ALL	All regions	IRQ	Iraq	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	51.5		
ASI	Asia	ISR	Israel	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	46.8		
ASI	Asia	ISR	Israel	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	28.3		
ASI	Asia	ISR	Israel	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	38.4		
ALL	All regions	ISR	Israel	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	46.8		
ALL	All regions	ISR	Israel	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	28.3		
ALL	All regions	ISR	Israel	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	38.4		
AME	Americas	JAM	Jamaica	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	24.7		
AME	Americas	JAM	Jamaica	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	32		
AME	Americas	JAM	Jamaica	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	24.5		
AME	Americas	JAM	Jamaica	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	18.7		
AME	Americas	JAM	Jamaica	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	22.9		
ALL	All regions	JAM	Jamaica	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	24.7		
ALL	All regions	JAM	Jamaica	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	32		
ALL	All regions	JAM	Jamaica	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	24.5		
ALL	All regions	JAM	Jamaica	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	18.7		
ALL	All regions	JAM	Jamaica	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	22.9		
ASI	Asia	JOR	Jordan	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	57.3		
ASI	Asia	JOR	Jordan	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	86.9		
ASI	Asia	JOR	Jordan	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	25.2		
ASI	Asia	JOR	Jordan	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	43.4		
ASI	Asia	JOR	Jordan	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	63.1		
ALL	All regions	JOR	Jordan	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	57.3		
ALL	All regions	JOR	Jordan	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	86.9		
ALL	All regions	JOR	Jordan	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	25.2		
ALL	All regions	JOR	Jordan	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	43.4		
ALL	All regions	JOR	Jordan	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	63.1		
ASI	Asia	KAZ	Kazakhstan	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	22.5		
ASI	Asia	KAZ	Kazakhstan	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	22.4		
ASI	Asia	KAZ	Kazakhstan	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	14.4		
ASI	Asia	KAZ	Kazakhstan	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	30.6		
ASI	Asia	KAZ	Kazakhstan	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	21.8		
ALL	All regions	KAZ	Kazakhstan	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	22.5		
ALL	All regions	KAZ	Kazakhstan	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	22.4		
ALL	All regions	KAZ	Kazakhstan	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	14.4		
ALL	All regions	KAZ	Kazakhstan	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	30.6		
ALL	All regions	KAZ	Kazakhstan	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	21.8		
AFR	Africa	KEN	Kenya	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	35.5		
AFR	Africa	KEN	Kenya	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	50.5		
AFR	Africa	KEN	Kenya	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	28.9		
AFR	Africa	KEN	Kenya	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	42.2		
AFR	Africa	KEN	Kenya	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	17.2		
ALL	All regions	KEN	Kenya	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	35.5		
ALL	All regions	KEN	Kenya	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	50.5		
ALL	All regions	KEN	Kenya	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	28.9		
ALL	All regions	KEN	Kenya	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	42.2		
ALL	All regions	KEN	Kenya	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	17.2		
ASI	Asia	KWT	Kuwait	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	75.8		
ASI	Asia	KWT	Kuwait	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	80.3		
ALL	All regions	KWT	Kuwait	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	75.8		
ALL	All regions	KWT	Kuwait	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	80.3		
ASI	Asia	KGZ	Kyrgyzstan	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	23.2		
ASI	Asia	KGZ	Kyrgyzstan	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	28.7		
ASI	Asia	KGZ	Kyrgyzstan	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	16.6		
ASI	Asia	KGZ	Kyrgyzstan	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	28.8		
ASI	Asia	KGZ	Kyrgyzstan	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	18		
ALL	All regions	KGZ	Kyrgyzstan	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	23.2		
ALL	All regions	KGZ	Kyrgyzstan	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	28.7		
ALL	All regions	KGZ	Kyrgyzstan	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	16.6		
ALL	All regions	KGZ	Kyrgyzstan	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	28.8		
ALL	All regions	KGZ	Kyrgyzstan	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	18		
ASI	Asia	LAO	Lao People's Democratic Republic	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	26.2		
ASI	Asia	LAO	Lao People's Democratic Republic	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	31.3		
ASI	Asia	LAO	Lao People's Democratic Republic	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	23.9		
ASI	Asia	LAO	Lao People's Democratic Republic	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	20.2		
ASI	Asia	LAO	Lao People's Democratic Republic	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	29		
ALL	All regions	LAO	Lao People's Democratic Republic	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	26.2		
ALL	All regions	LAO	Lao People's Democratic Republic	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	31.3		
ALL	All regions	LAO	Lao People's Democratic Republic	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	23.9		
ALL	All regions	LAO	Lao People's Democratic Republic	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	20.2		
ALL	All regions	LAO	Lao People's Democratic Republic	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	29		
EUR	Europe	LVA	Latvia	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	17.8		
EUR	Europe	LVA	Latvia	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	21.8		
EUR	Europe	LVA	Latvia	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	15.7		
EUR	Europe	LVA	Latvia	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	4.6		
EUR	Europe	LVA	Latvia	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	27.7		
ALL	All regions	LVA	Latvia	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	17.8		
ALL	All regions	LVA	Latvia	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	21.8		
ALL	All regions	LVA	Latvia	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	15.7		
ALL	All regions	LVA	Latvia	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	4.6		
ALL	All regions	LVA	Latvia	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	27.7		
ASI	Asia	LBN	Lebanon	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	56.2		
ASI	Asia	LBN	Lebanon	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	82.5		
ASI	Asia	LBN	Lebanon	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	26.6		
ASI	Asia	LBN	Lebanon	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	45.1		
ASI	Asia	LBN	Lebanon	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	62.1		
ALL	All regions	LBN	Lebanon	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	56.2		
ALL	All regions	LBN	Lebanon	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	82.5		
ALL	All regions	LBN	Lebanon	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	26.6		
ALL	All regions	LBN	Lebanon	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	45.1		
ALL	All regions	LBN	Lebanon	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	62.1		
AFR	Africa	LSO	Lesotho	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	38.1		
AFR	Africa	LSO	Lesotho	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	46.5		
AFR	Africa	LSO	Lesotho	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	26.9		
AFR	Africa	LSO	Lesotho	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	40.5		
AFR	Africa	LSO	Lesotho	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	37.6		
ALL	All regions	LSO	Lesotho	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	38.1		
ALL	All regions	LSO	Lesotho	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	46.5		
ALL	All regions	LSO	Lesotho	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	26.9		
ALL	All regions	LSO	Lesotho	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	40.5		
ALL	All regions	LSO	Lesotho	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	37.6		
AFR	Africa	LBR	Liberia	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	47.5		
AFR	Africa	LBR	Liberia	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	60		
AFR	Africa	LBR	Liberia	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	33.5		
AFR	Africa	LBR	Liberia	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	41.5		
AFR	Africa	LBR	Liberia	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	52.8		
ALL	All regions	LBR	Liberia	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	47.5		
ALL	All regions	LBR	Liberia	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	60		
ALL	All regions	LBR	Liberia	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	33.5		
ALL	All regions	LBR	Liberia	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	41.5		
ALL	All regions	LBR	Liberia	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	52.8		
AFR	Africa	LBY	Libya	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	40.8		
ALL	All regions	LBY	Libya	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	40.8		
EUR	Europe	LTU	Lithuania	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	15.6		
EUR	Europe	LTU	Lithuania	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	27.3		
EUR	Europe	LTU	Lithuania	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	9.3		
EUR	Europe	LTU	Lithuania	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	4.6		
EUR	Europe	LTU	Lithuania	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	19.7		
ALL	All regions	LTU	Lithuania	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	15.6		
ALL	All regions	LTU	Lithuania	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	27.3		
ALL	All regions	LTU	Lithuania	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	9.3		
ALL	All regions	LTU	Lithuania	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	4.6		
ALL	All regions	LTU	Lithuania	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	19.7		
EUR	Europe	MKD	North Macedonia	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	18		
EUR	Europe	MKD	North Macedonia	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	27.7		
EUR	Europe	MKD	North Macedonia	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	15.1		
EUR	Europe	MKD	North Macedonia	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	13.4		
EUR	Europe	MKD	North Macedonia	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	15.2		
ALL	All regions	MKD	North Macedonia	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	18		
ALL	All regions	MKD	North Macedonia	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	27.7		
ALL	All regions	MKD	North Macedonia	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	15.1		
ALL	All regions	MKD	North Macedonia	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	13.4		
ALL	All regions	MKD	North Macedonia	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	15.2		
AFR	Africa	MDG	Madagascar	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	47.5		
AFR	Africa	MDG	Madagascar	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	57.2		
AFR	Africa	MDG	Madagascar	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	31.6		
AFR	Africa	MDG	Madagascar	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	39.2		
AFR	Africa	MDG	Madagascar	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	59.4		
ALL	All regions	MDG	Madagascar	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	47.5		
ALL	All regions	MDG	Madagascar	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	57.2		
ALL	All regions	MDG	Madagascar	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	31.6		
ALL	All regions	MDG	Madagascar	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	39.2		
ALL	All regions	MDG	Madagascar	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	59.4		
AFR	Africa	MWI	Malawi	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	41.4		
AFR	Africa	MWI	Malawi	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	38.5		
AFR	Africa	MWI	Malawi	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	24.1		
AFR	Africa	MWI	Malawi	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	37.4		
AFR	Africa	MWI	Malawi	AIC	All income groups	RCL__2	Restricted civil liberties	2019	2019	61.9		
ALL	All regions	MWI	Malawi	AIC	All income groups	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	41.4		
ALL	All regions	MWI	Malawi	AIC	All income groups	DF__2	Discrimination in the family	2019	2019	38.5		
ALL	All regions	MWI	Malawi	AIC	All income groups	RPI__2	Restricted physical integrity	2019	2019	24.1		
ALL	All regions	MWI	Malawi	AIC	All income groups	RAPFR__2	Restricted access to productive and financial resources	2019	2019	37.4		
